cricos_course_code,course_name,suspect_word,suggested_correction,suspect_freq,suggestion_freq
040574G,Bachelor of Information Techonology (Honours),techonology,technology,1,1572
052970G,Doctor of Philsophy in Engineering (Cotutelle),philsophy,philosophy,2,1188
052971G,Doctor of Philsophy in Arts ( Cotutelle),philsophy,philosophy,2,1188
060910J,Grauate Diploma in Design Science (Audio and Acoustics),grauate,graduate,1,2576
063747B,Graduate Certificate in Engineeering,engineeering,engineering,1,1253
