provider_code,institution_name,cricos_course_code,course_name,dual_qualification,foe_broad,foe_narrow,foe_detailed,course_level,foundation_studies,work_component,duration_weeks,course_language,tuition_fee,expired
00026A,The University of Sydney,006449G,Master of Laws,No,09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",Masters Degree (Coursework),No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,006450C,Doctor of Philosophy (Law),No,09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",Doctoral Degree,No,No,208,English,"$244,500.00",No
00026A,The University of Sydney,006455J,Doctor of Philosophy in Medicine,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019907 - Pharmacology,Doctoral Degree,No,No,208,English,"$244,500.00",No
00026A,The University of Sydney,006457G,Graduate Diploma in Public Health,No,06 - Health,0613 - Public Health,"061300 - Public Health, n.f.d.",Graduate Diploma,No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,006461M,Doctor of Philosophy in Veterinary Science,No,06 - Health,0611 - Veterinary Studies,061101 - Veterinary Science,Doctoral Degree,No,No,208,English,"$232,610.00",No
00026A,The University of Sydney,007446B,Diploma of Music,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Diploma,No,No,104,English,"$102,100.00",No
00026A,The University of Sydney,007448M,Master of Music (Performance),No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Masters Degree (Research),No,No,104,English,"$95,200.00",No
00026A,The University of Sydney,008401G,Graduate Diploma in Criminology,No,09 - Society and Culture,0909 - Law,090905 - Criminal Law,Graduate Diploma,No,No,26,English,"$27,050.00",No
00026A,The University of Sydney,008402F,Graduate Diploma in Jurisprudence,No,09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",Graduate Diploma,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,008403E,Graduate Diploma in Law,No,09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",Graduate Diploma,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,008404D,Master of Criminology,No,09 - Society and Culture,0909 - Law,090905 - Criminal Law,Masters Degree (Coursework),No,No,52,English,"$54,100.00",No
00026A,The University of Sydney,008405C,Master of Labour Law and Relations,No,08 - Management and Commerce,0803 - Business and Management,080309 - Industrial Relations,Masters Degree (Coursework),No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,008406B,Master of Jurisprudence,No,09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",Masters Degree (Coursework),No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,008407A,Master of Taxation,No,09 - Society and Culture,0909 - Law,090911 - Taxation Law,Masters Degree (Coursework),No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,008408M,Master of Laws (Research),No,09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",Masters Degree (Research),No,No,104,English,"$118,600.00",No
00026A,The University of Sydney,008414B,Master of Nutrition and Dietetics,No,06 - Health,0699 - Other Health,069901 - Nutrition and Dietetics,Masters Degree (Coursework),No,Yes,104,English,"$125,300.00",No
00026A,The University of Sydney,008426J,Master of Veterinary Clinical Studies,No,06 - Health,0611 - Veterinary Studies,061101 - Veterinary Science,Masters Degree (Research),No,Yes,104,English,"$118,600.00",No
00026A,The University of Sydney,008437F,Doctor of Philosophy in Nursing,No,06 - Health,0603 - Nursing,"060300 - Nursing, n.f.d.",Doctoral Degree,No,No,208,English,"$217,300.00",No
00026A,The University of Sydney,008447D,Bachelor of Music (Music Education),No,07 - Education,0799 - Other Education,"079999 - Education, n.e.c.",Bachelor Degree,No,Yes,208,English,"$210,500.00",No
00026A,The University of Sydney,008448C,Graduate Diploma in Music (Opera),No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Graduate Diploma,No,No,52,English,"$40,500.00",No
00026A,The University of Sydney,008450J,Graduate Diploma in Music (Accompaniment),No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Graduate Diploma,No,No,52,English,,No
00026A,The University of Sydney,008451G,Bachelor of Visual Arts,No,10 - Creative Arts,1003 - Visual Arts and Crafts,100301 - Fine Arts,Bachelor Degree,No,No,156,English,"$152,100.00",No
00026A,The University of Sydney,008454E,Master of Music (Music Education),No,07 - Education,0701 - Teacher Education,"070199 - Teacher Education, n.e.c.",Masters Degree (Research),No,No,104,English,"$95,200.00",No
00026A,The University of Sydney,009061C,Master of Philosophy (Arts and Social Sciences),No,09 - Society and Culture,0915 - Language and Literature,091523 - Literature,Masters Degree (Research),No,No,104,English,"$105,400.00",No
00026A,The University of Sydney,009982F,Graduate Diploma in Heritage Conservation,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Graduate Diploma,No,No,52,English,"$49,700.00",No
00026A,The University of Sydney,0100132,Master of Health Studies,No,06 - Health,0601 - Medical Studies,060101 - General Medicine,Masters Degree (Coursework),No,No,104,English,"$192,900.00",No
00026A,The University of Sydney,0100133,Bachelor of Arts and Bachelor of Advanced Studies (Media and Communications),No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",Bachelor Degree,No,Yes,208,English,"$219,700.00",No
